Relay,Code,ISP,Nips,Version,Price,Link,Events/h,Ping
cfrelay.haorendashu.workers.dev,CA,"Cloudflare, Inc.","[1,2,5,9,11,12,16,33,42,45,50,95,96]",0.0.3,,,0,151ms.
cfrelay.puhcho.workers.dev,CA,"Cloudflare, Inc.","[1,2,5,9,11,12,16,33,42,45,50,95,96]",0.0.2,,,0,177ms.
cfrelay.snowcait.workers.dev,CA,"Cloudflare, Inc.","[1,2,5,9,11,12,16,33,42,45,50,95,96]",0.0.3,,,0,196ms.
chefstr.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,4200000,link,0,378ms.
chorus.pjv.me,US,Hetzner Online GmbH,"[1,4,9,11,40,42,59,65]",chorus 1.4.0,,,0,645ms.
chorus.slowcod.ing,CA,"Cloudflare, Inc.","[1,4,9,11,40,42,59,65]",chorus 1.5.2,,,0,⛔
chorus.tealeaf.dev,US,IncogNET LLC,"[1,4,9,11,40,42,59,65]",chorus 1.4.0,,,0,505ms.
christpill.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,2,410ms.
cl.purplerelay.com,BR,"Amazon.com, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",v401-1086645,,,11,779ms.
clnbits.diynodes.com,CA,Cogent Communications,"[1,2,4,9,11,15,16,20,22,28,42]",LNbits,,,0,⛔
comments.layer3.news,US,"Amazon.com, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,0,⌛
consequently-community-owners-looksmart.trycloudflare.com,CA,"Cloudflare, Inc.","[1,2,4,11,13,22,26,28,40,42]",2.2.0,,,0,⛔
cookies.nostrfreaks.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,⛔
coop.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,433ms.
core.btcmap.org,SG,LINODE,"[1,2,4,9,11,15,16,20,22,28,42]",LNbits,,,0,⛔
creatr.nostr.wine,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,28,33,42]",0.2.1,,,0,430ms.
custom.fiatjaf.com,DE,Contabo GmbH,"[1,11,70]",khatru,,,0,214ms.
cyberspace.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,2,377ms.
czas.live,RU,LLC Digital Network,"[1,2,4,9,11,12,15,16,20,22,25,26,28,33,40,42]",0.4.3,,,0,402ms.
david.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,412ms.
demo.zacoos.com,CA,"Cloudflare, Inc.","[1,11,42,70,86,9]",khatru,,,0,⛔
deno.blowater.app,SG,"DigitalOcean, LLC","[1,2,11]",,,,0,⌛
dev-relay.kube.b-n.space,US,arsys.es NGCS,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,14,494ms.
dev-relay.lnfi.network,GB,"Amazon.com, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,500,1091ms.
